,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
35 t/m 44_less than 4.999,0.044461758116934855,0.030947840102196374,0.03386009952739853,0.03294132222039619,0.027350950221031015,0.049342194019888416,0.04346693569759794,0.038898693537501604,0.036690322247711,0.028730287042900173,0.057390282618448446,0.039226840608815025,0.04169526848259002,0.03591692522102087,0.03787343929227201,0.049551767787038306,0.045488556201420484,0.036624703722184695,0.032491194658071924,0.041007683002644735,0.04882889018226368,0.04325105336617271,0.04225703468085113,0.04128400413805982,0.040421953304589926
35 t/m 44_5.000-9.999,0.03407690051867661,0.033706779879007866,0.03329201456108225,0.03207318238083461,0.026447872611152407,0.04352591511283032,0.03959711831989882,0.0457013844378603,0.034011736929586325,0.030908067530946236,0.041196687473317395,0.06027223962834975,0.0451820646131401,0.04292941528429693,0.040265219583962925,0.03938415470546326,0.0408741569149901,0.042935946469463276,0.033703949519472344,0.04313744359961156,0.037400574088305286,0.04398756189349744,0.04805371046804289,0.03921109477185143,0.0481248087043596
35 t/m 44_10.000-19.999,0.03269894580933698,0.027850657135678344,0.031108660093234673,0.029197460335564765,0.02591003790558718,0.045861864737483576,0.040720487187916904,0.045435367610689975,0.03893544722289439,0.030691698799690078,0.04401436925489074,0.04541452897212294,0.06058234381835592,0.039753491576486714,0.04257688950019947,0.03965217305608679,0.04937188983678339,0.0429888719318079,0.03040589988894892,0.045851679277643234,0.037083988715731944,0.04521939608570538,0.04832577635881366,0.03984874256977421,0.040499332318571904
35 t/m 44_20.000-29.999,0.033147326224436495,0.02901475148062368,0.0293447844757707,0.03232422887110832,0.028016530647521166,0.04549960412911754,0.03291913530605504,0.03909465130510504,0.030334777251739525,0.03282548559565929,0.040283864858349734,0.04584669007850402,0.042237630927392106,0.0643680486276983,0.04825040113213701,0.04390927579132633,0.041112726745071417,0.04306069260465052,0.03716982701518971,0.04427499203862024,0.038723827743415436,0.04267246737507187,0.048437788831038504,0.04080475529247875,0.046325735651919324
35 t/m 44_more than 30.000,0.031505112597157256,0.03329374270380041,0.03159690277945372,0.0371324642687486,0.03317371442630419,0.04293419465444977,0.0359647273345913,0.04166140879754629,0.03572932697579264,0.03687857858488005,0.040682019219470233,0.04118308356872567,0.043324541756085556,0.04621007822829406,0.06164617273010506,0.03884832127748246,0.03844624637899103,0.04623531643784807,0.03204315076167149,0.042371836198412345,0.03451781772942027,0.04317998696314289,0.04641747822388587,0.040291788728824524,0.04473198867491617
45 t/m 54_less than 4.999,0.04760535969737392,0.02801397956038823,0.03017943895181757,0.03464192875039197,0.026288389049428634,0.05051727008678779,0.039472521203255256,0.040188745136502994,0.033715333094063576,0.02729445355691623,0.051544147628516834,0.03900881629673542,0.039073246249989646,0.04072344441101525,0.0376205127714948,0.05969783383795634,0.04439720740444515,0.03227188489813748,0.03399724565036135,0.040700200332499645,0.05464542321833487,0.04067943334334446,0.04070659111790587,0.04470480584703188,0.04231178790530499
45 t/m 54_5.000-9.999,0.037160215253774595,0.02453801928678961,0.03250606082414435,0.02786437650323489,0.02020897743641138,0.047653548945829134,0.041663263610841425,0.040257232796503166,0.03680672435936683,0.02673261566190635,0.0481477105647644,0.04119488836501813,0.04950459727973549,0.03879875504183037,0.0378843358363621,0.04517612046985999,0.060745184008649575,0.03909288297758066,0.035567778104399934,0.044407624333516006,0.044311488927391396,0.04857290220651542,0.04769692300775222,0.044290387596098546,0.039217386601724115
45 t/m 54_10.000-19.999,0.026531501492344046,0.03487684811089687,0.02958253236346396,0.03171100625924036,0.029388482450243086,0.0426681491581698,0.03731206616350425,0.039754146879609764,0.03436834242499359,0.03671662466991413,0.04093728083098098,0.04569692184107718,0.04551905246863965,0.04291349667378013,0.04811172750735707,0.034677596950552995,0.04128279405600671,0.0641480169871705,0.03405141860009445,0.04666454153146761,0.031013889353055504,0.04653550695708158,0.05021308999626132,0.04086057524004438,0.044464391034050116
45 t/m 54_20.000-29.999,0.03488074056643719,0.02667130488699148,0.025879594936003957,0.03353312592953743,0.017561653841560634,0.04250405772542411,0.029390910694701285,0.039145013833417126,0.02734700486001783,0.023802079748179276,0.04428528403383913,0.04374169257643669,0.03925942257418868,0.04517023130233041,0.0406594230830588,0.044546878585784995,0.0458012152992937,0.04152255718306345,0.07822257670999128,0.04069319269463352,0.04090954369316277,0.04937044392791411,0.04882979435616099,0.05202569203295544,0.0442465649249158
45 t/m 54_more than 30.000,0.03506784334744105,0.03439776000360783,0.032119635036423726,0.03455370643783272,0.030606995634112007,0.045959325528256836,0.04318501432119735,0.044048442248658705,0.037814870612464836,0.034044910077844825,0.042149227522169104,0.042218211024584174,0.04464490734466382,0.040574287280394125,0.040544683751961165,0.04021617160929676,0.04312294771483417,0.04291079089907371,0.030686856220083214,0.05898787501577603,0.03623495663454935,0.03969505402431726,0.04378036151904327,0.04118750766997205,0.041247658521442146
55 t/m 70_less than 4.999,0.04804951398264046,0.028481602813650333,0.031135618302445402,0.034042788188278224,0.024246301395752814,0.04946291113756097,0.03887268573629172,0.040356782121656366,0.03262578104876183,0.02501149609432823,0.05384495025793486,0.03927059026923067,0.038738862028338254,0.03807276571302993,0.03543591917120461,0.05792975757681776,0.04616480243392612,0.03059704517302712,0.03309779087884808,0.03887509690343765,0.06328583142775664,0.04315959497241123,0.0422526971370603,0.04379306804233987,0.0431957471932706
55 t/m 70_5.000-9.999,0.03160624456574885,0.026978045944324267,0.02780323910874067,0.02764958948634392,0.023689773094490857,0.04343767403565298,0.03841292654175926,0.0382052730554646,0.032748760639622815,0.027561505849411663,0.04654125650349382,0.04507049624235831,0.046095493086535544,0.04094088158440603,0.04325697708401487,0.042081973663578714,0.049381238680879035,0.04480030723637942,0.03897756396336666,0.0415578837971286,0.042116342495537515,0.0617560881474913,0.05137626112348546,0.04414768788040959,0.043806516189375366
55 t/m 70_10.000-19.999,0.03161675335199211,0.028511084595786062,0.02876170618719041,0.028890914780538804,0.02320401647028214,0.0439417966802582,0.03646645642061094,0.039463901570515054,0.03450818097578424,0.028609933971644,0.04339671545790289,0.04699003883683968,0.04701419177341444,0.044351689924577935,0.0443783989097225,0.0401885528686324,0.04627801443292462,0.04613493555088112,0.036791626147483464,0.04374342640996469,0.03934994708966516,0.04903192265373977,0.058938110154947425,0.042826644405059656,0.04661104037964223
55 t/m 70_20.000-29.999,0.035368321898520134,0.025005822734844335,0.027688892901942565,0.03530843030854505,0.02317831233672097,0.043761168535284015,0.034527434955067,0.04376492133904968,0.03391699663168741,0.028018237121637344,0.04523255843721756,0.04090716117419832,0.04135959275488322,0.03986099524025381,0.04109775820529271,0.047087251764517585,0.04584640984035626,0.04005243684707608,0.04182090738428587,0.04390464449069873,0.04351175348376869,0.04495064092983278,0.04569046151093096,0.06287930074772533,0.04525958842566371
55 t/m 70_more than 30.000,0.03368966474376937,0.03329266765856546,0.031203377480293906,0.035427874264765326,0.028163103043789266,0.0431581731913266,0.03518874017512132,0.04316386264310246,0.030150382750929863,0.02988631992196553,0.04270102064105737,0.048407316714082986,0.04052855456625974,0.04363262126655315,0.04399176741005804,0.04296968077200836,0.03914047758636265,0.042023133827970335,0.03429310152362526,0.042393167977496385,0.04138031799285184,0.04300493157071437,0.04794594839703259,0.043637736939892244,0.06062605694040554
