,18 t/m 24_Less than 10 km,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_more than 50,25 t/m 34_Less than 10 km,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_more than 50,35 t/m 44_Less than 10 km,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_more than 50,45 t/m 54_Less than 10 km,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_more than 50,55 t/m 70_Less than 10 km,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_more than 50
35 t/m 44_Less than 10 km,0.039475049069741336,0.03563014645809363,0.03800846053556722,0.026498942056342498,0.020593199485869445,0.04462557312259793,0.039092317366341015,0.03868276714638047,0.04461803931659999,0.027577903914723666,0.05757021377728299,0.04354757471267852,0.04347505564851902,0.04363651993961733,0.033684812440148294,0.05138239165697133,0.043790396567551515,0.03624945608262063,0.04727963409077184,0.04307555907312829,0.04684789351751424,0.04536194189757057,0.04023510264866059,0.0379166547233575,0.031144394751350318
35 t/m 44_10-19 km,0.03336453014641132,0.037454368593228295,0.03812949652846405,0.03325359688248407,0.0169419815675744,0.04467510909983406,0.038091854665535135,0.03153164323010931,0.03786953785363276,0.02718697757007829,0.04560207962948705,0.060286284374728,0.04506768899559159,0.04098516061601596,0.03793868442905062,0.0413792992585998,0.045395960759421504,0.04203126552484426,0.046714325802267684,0.045380181271000845,0.04355182823862866,0.04391114391859701,0.04591586661787544,0.04495758762541762,0.03238354680112229
35 t/m 44_20-29 km,0.036644226842436727,0.04173171228354557,0.03395481117648352,0.03464048432812602,0.015891537613694218,0.04304909709155267,0.041883299496374544,0.0384354512184403,0.03971817265290973,0.03588108465182581,0.043242687551423964,0.04280723177458403,0.057262509029693126,0.04224031071449481,0.04297432277159193,0.04322310254663724,0.04562046180618073,0.042815384710482955,0.047243202784575916,0.04127500910418222,0.03909979690378245,0.04102873335870935,0.041270643403359585,0.03658408621162194,0.03148263997329038
35 t/m 44_30-49 km,0.032746479089326305,0.03684011910594987,0.04287205010515031,0.027988795041810854,0.023515423385764064,0.036813927961229384,0.036872449515480646,0.03888918466576684,0.04652105345270248,0.03143503741041218,0.046649573535328615,0.04184114259431441,0.04539961218527164,0.06154537357159154,0.03373069934574673,0.043424714049826604,0.04241188610146417,0.04007716821507625,0.04505134779599746,0.04287499679248984,0.04583997183581324,0.04531792127830046,0.03908360458757093,0.04024968695822202,0.032007781419393096
35 t/m 44_more than 50,0.038908935813232494,0.046797487458466555,0.033729115990476906,0.033885578012040264,0.015229850774526514,0.045654463888468035,0.0447416705083145,0.03656173418925374,0.03712627664628706,0.03451942515984632,0.0382480405081333,0.04113738190697341,0.04905819525554285,0.0358263721397349,0.06536915924729784,0.03813643492929275,0.04691742719608761,0.045551768988661985,0.04640385586309805,0.040053160993840174,0.036413333165121485,0.038059470458407435,0.04520830315929145,0.035505611040802666,0.03095694670680165
45 t/m 54_Less than 10 km,0.04141007249626718,0.034790157707973016,0.03440832979496835,0.026259503568472904,0.018153699552308937,0.04603366931766406,0.03816811356730455,0.039298240592136206,0.04046486591271629,0.026316356461464453,0.05304845670670741,0.04079631108943334,0.044864398013975716,0.04193704600301933,0.0346755591942062,0.05943691787545924,0.04752753233769731,0.03829386531339288,0.04828801553180881,0.03925007887274794,0.0481151701631982,0.04713051293633776,0.04364684168281843,0.034826240273398465,0.03286004503452311
45 t/m 54_10-19 km,0.033748016959265055,0.035166905139944436,0.03297365462452076,0.0298041952996849,0.01491438117017925,0.039839147992754086,0.03706637533915385,0.03285774626895496,0.037946810738459416,0.02881375942574802,0.04305022101040743,0.042617997877634255,0.045090354866853075,0.03900196817558286,0.0406214703077522,0.04525674703240374,0.05659712222302472,0.04549548913230271,0.04927089159691029,0.04278105841057049,0.04673289613136127,0.04928704731687463,0.04728698313916369,0.04265165670991156,0.041127103110582354
45 t/m 54_20-29 km,0.03534177032016435,0.039050288360681785,0.032727188195624,0.031071567825496624,0.015149563301025511,0.03891875175625843,0.041219523472198594,0.03400107757396046,0.037094702530888944,0.029873056747997718,0.038572053580998446,0.04270935942216318,0.0458034916982817,0.039890614303883194,0.04268757235272671,0.039467719566330495,0.04924284069790327,0.061258888007192334,0.04938779235271521,0.04047938789026811,0.043550181692634166,0.04612747839719118,0.04967819365528382,0.04202530012018374,0.034671636177947926
45 t/m 54_30-49 km,0.03599325985861568,0.035848133762712835,0.03472946097059368,0.029060178004649804,0.01571446166538471,0.04060034962339764,0.03905329477248271,0.03395061226920047,0.03834478934657454,0.0280746606613446,0.0456528659427409,0.04307480789452424,0.04586281849804799,0.04069154295110153,0.039461442036602706,0.04516217597852208,0.04839359144244672,0.04481694883470754,0.05558937378456199,0.044318552488157595,0.04680274740903206,0.04687453945794663,0.04614007774755483,0.041273872107512634,0.03451544249158399
45 t/m 54_more than 50,0.027940815156985398,0.033260327443491465,0.03693646037934832,0.027043255690570193,0.018906699524507832,0.036342589282483934,0.03658973356236979,0.03052006887831516,0.041974182033251754,0.028246821850861508,0.045921470056997385,0.04619876970802372,0.04423840968164486,0.04275544098584901,0.0376050870850915,0.04052909952611438,0.04639165620512347,0.04055529168901812,0.048930143252538305,0.061373755907852094,0.04942316486482103,0.04981576707527079,0.044455710304520814,0.0472308565182843,0.036814423336664806
55 t/m 70_Less than 10 km,0.030368028684533057,0.030934315021821524,0.03464853305201689,0.023363785329112933,0.01891709555327052,0.03602931200333882,0.032524632592048165,0.029992074740851988,0.0394450722957498,0.02352215741707127,0.04839255388991491,0.04296098097323749,0.04060602193218492,0.044293015316887736,0.03312637028298933,0.048140662408037056,0.049103750366930446,0.04227729367526,0.050068650102677886,0.047888823453500415,0.059468408576994924,0.05502592201056404,0.04885688192267902,0.04732635338273053,0.04271930501559635
55 t/m 70_10-19 km,0.030417437788649228,0.031345310659800264,0.03493955293586628,0.02456598452423227,0.018786470110585613,0.035489978699160755,0.03314749455893801,0.03292071830014188,0.03862131449426825,0.026043737299936656,0.045780948826459,0.04232015275674433,0.04163022228780694,0.04278244119038103,0.03382835158446183,0.04607198021525012,0.050597545015894536,0.043750356734934166,0.0489932472878518,0.04716014305748971,0.0537615777088058,0.05810198815600644,0.047714651782714376,0.04678454888470442,0.044443845138916145
55 t/m 70_20-29 km,0.03222742886861205,0.036310995079419504,0.03209264423106398,0.026905571914488745,0.01411069955977409,0.04006295538562153,0.035640097262827616,0.03218400042663052,0.03618898294577069,0.02419348886866954,0.04191143447508864,0.0456740498647349,0.04322113029678953,0.038082412472918,0.041473487935214166,0.04403741281521961,0.050104013065362114,0.04863197878531541,0.049775060222277574,0.04343802849322287,0.049267971767221676,0.04924770754512277,0.05996878555307386,0.044710890480530015,0.04053877168503061
55 t/m 70_30-49 km,0.02592815700601558,0.031160709115011113,0.03569659768636824,0.025194170917952376,0.018590451850962766,0.03263551328770549,0.0306235702755208,0.027364385862058797,0.03960133156065027,0.02396365965176542,0.043000096296047965,0.048687977923390434,0.041711815707782075,0.04269768720486188,0.03546184672411484,0.038254943743166805,0.04920155312988206,0.04478978430461865,0.04847532046902061,0.05024355681885742,0.05195818622416064,0.052571299110349766,0.04867717010234002,0.06528858503654485,0.04822162999085113
55 t/m 70_more than 50,0.024375519542560637,0.0287379285836893,0.03149215540783223,0.02476808445520927,0.01795864802286884,0.03031714470305686,0.02869160916986821,0.02752626333243549,0.03695784379299284,0.02269693494578866,0.04099971823083616,0.04071033855212365,0.041667705739678824,0.03941476842451131,0.03589087440031431,0.0418996786632581,0.05507222075318609,0.042894740669021464,0.04705659326440776,0.04546049069395881,0.05444232714934499,0.057972155837323285,0.05123233505151795,0.05597620464791675,0.07578771596629813
