,18 t/m 24_less than 4.999,18 t/m 24_5.000-9.999,18 t/m 24_10.000-19.999,18 t/m 24_20.000-29.999,18 t/m 24_more than 30.000,25 t/m 34_less than 4.999,25 t/m 34_5.000-9.999,25 t/m 34_10.000-19.999,25 t/m 34_20.000-29.999,25 t/m 34_more than 30.000,35 t/m 44_less than 4.999,35 t/m 44_5.000-9.999,35 t/m 44_10.000-19.999,35 t/m 44_20.000-29.999,35 t/m 44_more than 30.000,45 t/m 54_less than 4.999,45 t/m 54_5.000-9.999,45 t/m 54_10.000-19.999,45 t/m 54_20.000-29.999,45 t/m 54_more than 30.000,55 t/m 70_less than 4.999,55 t/m 70_5.000-9.999,55 t/m 70_10.000-19.999,55 t/m 70_20.000-29.999,55 t/m 70_more than 30.000
35 t/m 44_less than 4.999,0.048642800236204306,0.031239996504883207,0.026404590499354185,0.02251045480673678,0.03691420576324587,0.042818218837858794,0.03947990647073948,0.04495656169828552,0.03620926678149997,0.036831579964216175,0.06764602164845435,0.03712404923449779,0.04267175454233457,0.037717287397423464,0.03201824267636093,0.057515190717449795,0.043149438650194924,0.04127181397714087,0.04501854089504716,0.03582926726275708,0.051272215039845505,0.04343159244345162,0.03681515203189925,0.03006479783719982,0.03244705408291851
35 t/m 44_5.000-9.999,0.035065918763133926,0.03610034139013519,0.03019354166746708,0.017758913390283272,0.03296125715454514,0.037043252044829625,0.03780273484046098,0.044991603996638256,0.03732966561171582,0.02630127552488463,0.033614345353677084,0.06125077356541282,0.0502727188555094,0.04230579941202556,0.049792294425729855,0.03510607336252325,0.044032723602830656,0.04750513195604196,0.04736905763012773,0.04454456231939662,0.040513275607747874,0.04428376231628508,0.047345383020769224,0.04563618280297609,0.03087941138485297
35 t/m 44_10.000-19.999,0.03878513032259352,0.03885906451143421,0.03540880173015388,0.014165354091795623,0.03369745280433541,0.04236266371316229,0.04069687610447886,0.04960713332300274,0.03998192710253889,0.02926447346756967,0.03524678428260236,0.0458608453796693,0.05587547918269578,0.043501369550753254,0.045406580490417674,0.03580417010006248,0.04750567582013286,0.04775913302917264,0.04583378667516871,0.04375555666916985,0.04009349098126583,0.03979716575200653,0.046101997874495114,0.03810329725170799,0.02652578978961452
35 t/m 44_20.000-29.999,0.04343785251255879,0.03909131357807122,0.042311422709386044,0.010673999785103605,0.03262834469020781,0.05095720247312078,0.045674590735278395,0.04819305051321406,0.03896654513239222,0.02935409233534677,0.035166663996878046,0.043563353983293786,0.04910374893809765,0.06307147406892358,0.04179181418482174,0.03779470495254108,0.04748560964783882,0.046513130598653335,0.038549173809763145,0.042456514685894745,0.03693219641310472,0.036634695455938844,0.04057379669194752,0.032998394102874175,0.026076314004749118
35 t/m 44_more than 30.000,0.03508144116454304,0.041024150819507846,0.03313249113552197,0.013618236765043461,0.03183923290561286,0.03713066813247678,0.037991221971457524,0.046977702764760654,0.03962394677571773,0.02814995799673823,0.02918600480323043,0.050126799764881984,0.05010914058430308,0.04085805239569083,0.061662257129709894,0.03179419626498773,0.045458627582492146,0.04998497531090808,0.046197107904163405,0.04675433310001384,0.038589152991046774,0.04197254306792492,0.04734810969653345,0.04290720506188095,0.03248244391085227
45 t/m 54_less than 4.999,0.050322792813690106,0.030241531875451918,0.02817607160028978,0.017717541648956815,0.035920227618731794,0.04549703380143556,0.041557253376218725,0.045253617569648255,0.035343254634125215,0.036226016323573064,0.056460411621173455,0.038060493410790056,0.0425516188451298,0.03979254482771345,0.034239874874778364,0.06640545183218495,0.043145798141736455,0.042212085327376025,0.04298274868647124,0.03725129901658424,0.05269662047520656,0.04142745980781649,0.035162134652564916,0.02749986193523686,0.03385625528311586
45 t/m 54_5.000-9.999,0.03985868491874265,0.03691985140488064,0.03617400216427182,0.01056376367745378,0.03014530259443537,0.045481571080456536,0.04273123568224776,0.047955733687512526,0.03373271978927738,0.02577248116980823,0.037605651130136794,0.04238226806394265,0.05012385477310583,0.04438633225585756,0.04346274231242157,0.03830495831748002,0.05895494286904155,0.04866053252466072,0.043662006440504546,0.04789618599229502,0.044284755666575346,0.04235759415670483,0.0457240440936533,0.03586118157180544,0.026997603662728183
45 t/m 54_10.000-19.999,0.036823276543136683,0.03385498514332362,0.03273170026109458,0.013158286950672572,0.02944084144299979,0.03916284387813761,0.03555331319009852,0.04443895340144034,0.03484915389603137,0.026557865872069195,0.03475604358099157,0.04418226607841889,0.04869161840576309,0.042010865200303685,0.04617842325432085,0.03621196627956251,0.047019247085617666,0.05696643423030986,0.04539882342890973,0.04481869055206111,0.045790803489854766,0.049102528697401324,0.05265590385272232,0.04546672460419588,0.03417844068056235
45 t/m 54_20.000-29.999,0.03866185086741571,0.03490900927695196,0.02672118490821742,0.019338393767035108,0.032755670748147864,0.03677307716658497,0.035025183235009444,0.04463498438481457,0.03542271304078591,0.03146838758464822,0.03976273860451853,0.04620726893503738,0.0490107797413659,0.036518188582552805,0.044763342057886464,0.03867386546251277,0.04424972745208354,0.047615976508004455,0.05974851745448322,0.04392228005601898,0.0464582378448029,0.045849356729778,0.04666650112651794,0.04166384810959624,0.033178916355229786
45 t/m 54_more than 30.000,0.03604337828872476,0.03369297893447791,0.030073355357644643,0.011938022121426528,0.0283364993612933,0.03559575592954178,0.039855268686679136,0.044705048356957856,0.03220758117477868,0.02393041914651354,0.03386625618178444,0.04650018074843839,0.05007067841286097,0.04304105234709955,0.04848126818324868,0.03586816912268716,0.05194601441631906,0.05030505761737549,0.04700339916541695,0.06393983672689833,0.04360675446622078,0.045266921638840545,0.049855861984170365,0.040592138698272225,0.03327810293232899
55 t/m 70_less than 4.999,0.042343876200893055,0.02988037120813726,0.028113350762738975,0.016220332640552396,0.030095333736875396,0.03835848221411456,0.034491321689587184,0.04194428519229711,0.03150415308008544,0.030138457535061086,0.04678707165670292,0.04082928971586282,0.044293363045508266,0.036145829832732596,0.03863063727297667,0.0489852210657818,0.04636818262962541,0.049618687526082284,0.0479978344855619,0.042098661299071145,0.06172854556210426,0.05065554211140084,0.045962390283507105,0.037857462809424494,0.03895131644331516
55 t/m 70_5.000-9.999,0.034233589257981055,0.02932678879575134,0.025683465589628723,0.019336663669046423,0.028858610828166882,0.03420258912067766,0.031964282876613584,0.040803505382138894,0.029909165857972337,0.025797029728596543,0.04029044512451663,0.045370284809989433,0.04469608205639803,0.03645005406473377,0.042715396097486376,0.03914922246124315,0.04508682302386944,0.05409079873893679,0.04815536574309015,0.04442710465714135,0.05149671138588399,0.06275358949058862,0.054092663754383985,0.04913406390162363,0.0419757035835412
55 t/m 70_10.000-19.999,0.032754391922828544,0.03156075456553106,0.03111956924799954,0.013425137674458227,0.028666725529305187,0.03483087742895125,0.034036282228904736,0.04233113216561535,0.031868267617950884,0.023716437641564753,0.03320736889611299,0.04716460319811988,0.05034410382972074,0.039252090926147586,0.04685256327889078,0.03230885932352584,0.04732324758957971,0.05639987801325853,0.04765716848650871,0.047576756942784584,0.04543250578416208,0.05259566187908033,0.061016898512011454,0.05329881189894388,0.03525990541804344
55 t/m 70_20.000-29.999,0.03125019559601445,0.030307994085830726,0.02969934676313653,0.01727945210573035,0.030302194546109218,0.030782446779328,0.031890050260708805,0.040096215154314954,0.03032034472544354,0.023886064536444367,0.031155067893812102,0.05222884327192501,0.04780287009517561,0.03667520062467911,0.048777943055579434,0.029029493054731455,0.0426399853044692,0.05594835313671779,0.04888154453755038,0.04450236436767413,0.04299105812944708,0.054885394267478564,0.06123222966881885,0.07009913749016476,0.037336210548715526
55 t/m 70_more than 30.000,0.03422353124450477,0.025125223405721934,0.021078683910142157,0.016683724829555994,0.027442489310945208,0.03134148691306069,0.026391418989837132,0.036781564318683846,0.02683685322965606,0.027223379316999786,0.041247384292020295,0.043353167714554545,0.04082352136798766,0.03555303017052055,0.045299423997110635,0.0438428305661485,0.03937933655467748,0.05159369233997206,0.04775275853206621,0.04475591478434676,0.054262462206115976,0.057520521185415834,0.049692908305578286,0.04580163306344245,0.08599305945093519
