popolazione,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q20,Q21
18 t/m 24_Less than 10 km,0.4025974025974026,0.2857142857142857,0.0,0.5714285714285714,0.37662337662337664,0.05194805194805195,0.2727272727272727,0.2597402597402597,0.11688311688311688,0.2727272727272727,0.2987012987012987,0.03896103896103896,0.03896103896103896,0.42857142857142855,0.35064935064935066,0.012987012987012988,0.5844155844155844,0.33766233766233766,0.03896103896103896,0.15584415584415584,0.19480519480519481,0.09090909090909091,0.33766233766233766,0.16883116883116883,0.03896103896103896,0.012987012987012988,0.05194805194805195,0.35064935064935066,0.45454545454545453,0.2727272727272727,0.15584415584415584,0.3116883116883117,0.2597402597402597,0.2597402597402597,0.2077922077922078,0.3116883116883117,0.06493506493506493,0.2987012987012987,0.12987012987012986,0.06493506493506493,0.44155844155844154,0.025974025974025976,0.4415584415584416,0.6590909090909091,0.6590909090909091,0.577922077922078,0.5454545454545454,0.5064935064935064,0.4772727272727273,0.4415584415584416,0.5681818181818182,0.6493506493506493,0.538961038961039,0.4545454545454546,0.4642857142857143,0.44805194805194803,0.6168831168831169,0.43506493506493504,0.41233766233766234,0.49350649350649356,0.39935064935064934,0.5064935064935064,0.4155844155844156,0.5,0.44805194805194803,0.461038961038961,0.4902597402597403,0.35389610389610393
18 t/m 24_10-19 km,0.5142857142857142,0.2857142857142857,0.02857142857142857,0.5714285714285714,0.42857142857142855,0.2,0.3142857142857143,0.3142857142857143,0.08571428571428572,0.2571428571428571,0.42857142857142855,0.02857142857142857,0.08571428571428572,0.5428571428571428,0.34285714285714286,0.14285714285714285,0.45714285714285713,0.4857142857142857,0.14285714285714285,0.22857142857142856,0.42857142857142855,0.17142857142857143,0.2,0.2857142857142857,0.11428571428571428,0.0,0.05714285714285714,0.3142857142857143,0.6285714285714286,0.4857142857142857,0.22857142857142856,0.42857142857142855,0.34285714285714286,0.3142857142857143,0.2857142857142857,0.3142857142857143,0.08571428571428572,0.2857142857142857,0.08571428571428572,0.08571428571428572,0.42857142857142855,0.02857142857142857,0.5142857142857142,0.7071428571428572,0.6071428571428571,0.5714285714285714,0.5214285714285715,0.48571428571428577,0.4642857142857143,0.3857142857142857,0.5857142857142857,0.5785714285714286,0.5,0.3571428571428571,0.44285714285714284,0.48571428571428577,0.55,0.4571428571428572,0.37142857142857144,0.47857142857142854,0.3642857142857143,0.5642857142857143,0.3142857142857143,0.4,0.44999999999999996,0.41428571428571426,0.44285714285714284,0.4
18 t/m 24_20-29 km,0.48,0.2,0.08,0.48,0.32,0.2,0.24,0.28,0.12,0.32,0.28,0.04,0.0,0.52,0.44,0.08,0.4,0.32,0.28,0.08,0.16,0.08,0.32,0.2,0.04,0.04,0.0,0.48,0.32,0.32,0.2,0.56,0.28,0.12,0.24,0.24,0.04,0.32,0.2,0.04,0.32,0.0,0.49,0.49,0.52,0.54,0.52,0.48,0.47,0.53,0.48,0.5,0.48,0.45999999999999996,0.43999999999999995,0.4,0.49,0.42000000000000004,0.39,0.45999999999999996,0.41000000000000003,0.53,0.43000000000000005,0.56,0.49,0.54,0.28,0.45999999999999996
18 t/m 24_30-49 km,0.37142857142857144,0.37142857142857144,0.08571428571428572,0.4857142857142857,0.22857142857142856,0.2,0.2571428571428571,0.2857142857142857,0.2857142857142857,0.22857142857142856,0.22857142857142856,0.22857142857142856,0.02857142857142857,0.4,0.2,0.2,0.34285714285714286,0.22857142857142856,0.22857142857142856,0.11428571428571428,0.3142857142857143,0.2571428571428571,0.17142857142857143,0.2,0.17142857142857143,0.0,0.0,0.2571428571428571,0.4,0.2571428571428571,0.14285714285714285,0.34285714285714286,0.22857142857142856,0.2571428571428571,0.17142857142857143,0.2857142857142857,0.11428571428571428,0.22857142857142856,0.08571428571428572,0.05714285714285714,0.2571428571428571,0.0,0.3928571428571429,0.5214285714285715,0.5857142857142857,0.5285714285714286,0.5357142857142857,0.4285714285714286,0.4,0.4357142857142857,0.47857142857142854,0.5142857142857142,0.4714285714285714,0.37142857142857144,0.4642857142857143,0.30714285714285716,0.5714285714285714,0.40714285714285714,0.4214285714285714,0.5,0.4928571428571429,0.5214285714285715,0.3857142857142857,0.37142857142857144,0.47857142857142854,0.44999999999999996,0.41428571428571426,0.3642857142857143
18 t/m 24_more than 50,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.0,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.0,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.4027777777777778,0.45833333333333337,0.5555555555555556,0.5138888888888888,0.6388888888888888,0.625,0.5833333333333334,0.5694444444444444,0.4722222222222222,0.6111111111111112,0.5277777777777778,0.5,0.41666666666666663,0.4722222222222222,0.5972222222222222,0.5277777777777778,0.5,0.625,0.5,0.5416666666666666,0.5,0.38888888888888884,0.5,0.5,0.4444444444444444,0.33333333333333337
25 t/m 34_Less than 10 km,0.4868421052631579,0.15789473684210525,0.013157894736842105,0.5394736842105263,0.39473684210526316,0.07894736842105263,0.25,0.13157894736842105,0.02631578947368421,0.3684210526315789,0.17105263157894737,0.0,0.02631578947368421,0.39473684210526316,0.2631578947368421,0.11842105263157894,0.5263157894736842,0.32894736842105265,0.07894736842105263,0.2236842105263158,0.06578947368421052,0.02631578947368421,0.34210526315789475,0.14473684210526316,0.02631578947368421,0.013157894736842105,0.14473684210526316,0.4605263157894737,0.47368421052631576,0.3026315789473684,0.13157894736842105,0.3684210526315789,0.40789473684210525,0.2894736842105263,0.13157894736842105,0.3026315789473684,0.05263157894736842,0.21052631578947367,0.11842105263157894,0.13157894736842105,0.39473684210526316,0.05263157894736842,0.4342105263157895,0.6447368421052632,0.631578947368421,0.569078947368421,0.5493421052631579,0.5197368421052632,0.430921052631579,0.430921052631579,0.5953947368421053,0.618421052631579,0.5460526315789473,0.430921052631579,0.48684210526315785,0.430921052631579,0.6414473684210527,0.430921052631579,0.42434210526315785,0.5,0.36184210526315785,0.5032894736842105,0.4046052631578947,0.5131578947368421,0.41776315789473684,0.4638157894736842,0.5230263157894737,0.3453947368421053
25 t/m 34_10-19 km,0.5714285714285714,0.21428571428571427,0.07142857142857142,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.0,0.35714285714285715,0.21428571428571427,0.0,0.03571428571428571,0.39285714285714285,0.21428571428571427,0.32142857142857145,0.5714285714285714,0.10714285714285714,0.17857142857142858,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.35714285714285715,0.14285714285714285,0.0,0.03571428571428571,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.17857142857142858,0.14285714285714285,0.32142857142857145,0.2857142857142857,0.10714285714285714,0.10714285714285714,0.42857142857142855,0.03571428571428571,0.25,0.10714285714285714,0.17857142857142858,0.4642857142857143,0.07142857142857142,0.4285714285714286,0.5,0.5178571428571429,0.4821428571428571,0.4285714285714286,0.4732142857142857,0.3571428571428571,0.3125,0.4464285714285714,0.5178571428571429,0.5089285714285714,0.375,0.375,0.4017857142857143,0.5446428571428571,0.3214285714285714,0.3035714285714286,0.3571428571428571,0.2946428571428571,0.4732142857142857,0.2946428571428571,0.3839285714285714,0.3839285714285714,0.4107142857142857,0.4285714285714286,0.3839285714285714
25 t/m 34_20-29 km,0.5357142857142857,0.32142857142857145,0.03571428571428571,0.6071428571428571,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.4642857142857143,0.14285714285714285,0.32142857142857145,0.35714285714285715,0.07142857142857142,0.0,0.5357142857142857,0.2857142857142857,0.14285714285714285,0.6428571428571429,0.25,0.07142857142857142,0.21428571428571427,0.25,0.10714285714285714,0.25,0.14285714285714285,0.03571428571428571,0.0,0.0,0.39285714285714285,0.39285714285714285,0.2857142857142857,0.17857142857142858,0.4642857142857143,0.2857142857142857,0.10714285714285714,0.10714285714285714,0.32142857142857145,0.17857142857142858,0.2857142857142857,0.17857142857142858,0.10714285714285714,0.39285714285714285,0.03571428571428571,0.4821428571428571,0.5714285714285714,0.6785714285714286,0.5982142857142857,0.5357142857142857,0.5535714285714286,0.4553571428571429,0.4196428571428571,0.4464285714285714,0.5803571428571429,0.5089285714285714,0.4196428571428571,0.4375,0.4196428571428571,0.625,0.4107142857142857,0.4285714285714286,0.5,0.4464285714285714,0.5446428571428571,0.4196428571428571,0.4821428571428571,0.4017857142857143,0.4107142857142857,0.4732142857142857,0.4196428571428571
25 t/m 34_30-49 km,0.3333333333333333,0.2222222222222222,0.13333333333333333,0.26666666666666666,0.17777777777777778,0.2,0.2222222222222222,0.35555555555555557,0.15555555555555556,0.3111111111111111,0.3333333333333333,0.17777777777777778,0.0,0.37777777777777777,0.2222222222222222,0.15555555555555556,0.6,0.28888888888888886,0.2222222222222222,0.2,0.2,0.1111111111111111,0.2222222222222222,0.24444444444444444,0.1111111111111111,0.022222222222222223,0.0,0.35555555555555557,0.26666666666666666,0.3111111111111111,0.2,0.4,0.26666666666666666,0.17777777777777778,0.2,0.17777777777777778,0.13333333333333333,0.17777777777777778,0.08888888888888889,0.08888888888888889,0.3111111111111111,0.0,0.4444444444444444,0.46111111111111114,0.5277777777777778,0.47777777777777775,0.5166666666666667,0.49444444444444446,0.41666666666666663,0.4222222222222223,0.43333333333333335,0.5277777777777778,0.41666666666666663,0.49444444444444446,0.43333333333333335,0.41666666666666663,0.5722222222222222,0.4444444444444444,0.4722222222222222,0.5222222222222223,0.4722222222222222,0.4555555555555556,0.4444444444444444,0.4666666666666667,0.4444444444444444,0.4555555555555556,0.36111111111111116,0.3944444444444445
25 t/m 34_more than 50,0.5135135135135135,0.32432432432432434,0.08108108108108109,0.5135135135135135,0.4594594594594595,0.08108108108108109,0.32432432432432434,0.1891891891891892,0.21621621621621623,0.35135135135135137,0.24324324324324326,0.10810810810810811,0.02702702702702703,0.35135135135135137,0.35135135135135137,0.2972972972972973,0.4594594594594595,0.2972972972972973,0.21621621621621623,0.21621621621621623,0.10810810810810811,0.13513513513513514,0.35135135135135137,0.24324324324324326,0.08108108108108109,0.02702702702702703,0.0,0.40540540540540543,0.2972972972972973,0.2702702702702703,0.16216216216216217,0.35135135135135137,0.43243243243243246,0.2702702702702703,0.21621621621621623,0.5135135135135135,0.13513513513513514,0.21621621621621623,0.21621621621621623,0.2702702702702703,0.32432432432432434,0.0,0.3851351351351351,0.5472972972972973,0.5945945945945946,0.5405405405405406,0.4864864864864865,0.4797297297297297,0.4054054054054054,0.45270270270270274,0.3986486486486487,0.6351351351351351,0.4864864864864865,0.3851351351351351,0.43243243243243246,0.3986486486486487,0.6013513513513513,0.41891891891891897,0.3918918918918919,0.4797297297297297,0.3581081081081081,0.4797297297297297,0.28378378378378377,0.4797297297297297,0.3648648648648649,0.43918918918918914,0.3986486486486487,0.3581081081081081
