,18 t/m 24_10-19 km,18 t/m 24_20-29 km,18 t/m 24_30-49 km,18 t/m 24_Less than 10 km,18 t/m 24_more than 50,25 t/m 34_10-19 km,25 t/m 34_20-29 km,25 t/m 34_30-49 km,25 t/m 34_Less than 10 km,25 t/m 34_more than 50,35 t/m 44_10-19 km,35 t/m 44_20-29 km,35 t/m 44_30-49 km,35 t/m 44_Less than 10 km,35 t/m 44_more than 50,45 t/m 54_10-19 km,45 t/m 54_20-29 km,45 t/m 54_30-49 km,45 t/m 54_Less than 10 km,45 t/m 54_more than 50,55 t/m 70_10-19 km,55 t/m 70_20-29 km,55 t/m 70_30-49 km,55 t/m 70_Less than 10 km,55 t/m 70_more than 50
35 t/m 44_10-19 km,0.6285231053894941,0.4658043768283532,0.555783298696721,0.582466807446929,0.5206814229154482,0.790478192221744,0.6546829155696876,0.5459584222737329,0.7746254350804883,0.6208951459054325,1.0,0.753084498126167,0.6425481922770313,0.7122732311250002,0.6119938750908505,0.8370759989071489,0.8272380618873258,0.7627168239529422,0.7669330336391686,0.7698446800382597,0.7957698639484623,0.8058194871207448,0.8100707476094463,0.7661873897585523,0.5034830193163016
35 t/m 44_20-29 km,0.6821158027594618,0.5963561486256965,0.7293035367791231,0.7094727181747411,0.5623063301691134,0.8010872169334872,0.8126328609760651,0.7264055762421544,0.780096434484585,0.7217427141106819,0.753084498126167,1.0,0.7593096336876828,0.6217162195812519,0.6558991665067919,0.7144665456961843,0.6963464916822398,0.7048282194796343,0.6555178610497447,0.7638951505697331,0.5893694207022956,0.6234382251347322,0.6461861884374306,0.5784961836191939,0.37525654871373154
35 t/m 44_30-49 km,0.7009775468153634,0.7490887883755515,0.809609265011182,0.7085418695980997,0.6585194972538748,0.7416797641058713,0.6941845808687507,0.8390265234306993,0.6413414886349138,0.6164917736379216,0.6425481922770313,0.7593096336876828,1.0,0.4645873164058953,0.690545811785676,0.6086394615676017,0.4984727668217122,0.5837915190989725,0.5248179793952805,0.7150042156020114,0.47652454415028767,0.5164352193856053,0.533648631925843,0.4578790424125746,0.3075811353262283
35 t/m 44_Less than 10 km,0.5108050123389187,0.41240859272644,0.35762969245997195,0.5353863064051798,0.30750055740091525,0.6802060614326761,0.5465448591081764,0.40041206074491476,0.7003580383103261,0.418762725194195,0.7122732311250002,0.6217162195812519,0.4645873164058953,1.0,0.43988057171787515,0.6617516680228626,0.6611430685514169,0.4778060445722483,0.7829414228599607,0.5683313704330458,0.6659539304266509,0.5868732294481029,0.596091247970821,0.6623679248434241,0.28074155006650153
35 t/m 44_more than 50,0.5332380710024456,0.5626402139358906,0.6479994464771184,0.5743401499124509,0.5541580037845484,0.6552228212918069,0.6223982547436512,0.740166647731923,0.597666477786064,0.7173906483752047,0.6119938750908505,0.6558991665067919,0.690545811785676,0.43988057171787515,1.0,0.6204793061988229,0.5911588092005217,0.687937847232444,0.5214217587533505,0.7901488675496544,0.5898696917894356,0.6090019654354103,0.6506093671491763,0.5513186121733444,0.4596909232439942
45 t/m 54_10-19 km,0.5775710811066347,0.4369911346991968,0.5079899199253921,0.5169229480031591,0.46073410837427403,0.7255572248239908,0.6133247822221543,0.524547129334893,0.724199145225843,0.616202896648007,0.8370759989071489,0.7144665456961843,0.6086394615676017,0.6617516680228626,0.6204793061988229,1.0,0.8199201200717986,0.7818128809439704,0.7677123607779439,0.7600579285687349,0.8458598492621119,0.8451507377964361,0.7757266079492138,0.8332745053568561,0.521307936327361
45 t/m 54_20-29 km,0.48924409285074444,0.33835279532757334,0.4458433053910829,0.47842090293524464,0.3796260806809713,0.6753436772689658,0.6156245380094502,0.4557919082662307,0.7086202460210679,0.6707121328134,0.8272380618873258,0.6963464916822398,0.4984727668217122,0.6611430685514169,0.5911588092005217,0.8199201200717986,1.0,0.8270384055394431,0.7439495187523013,0.7410267909609052,0.8201460193128245,0.8218708109137225,0.8745424613069415,0.8024491699711073,0.6407123717969437
45 t/m 54_30-49 km,0.5147557614303282,0.36933939217059425,0.5394695170552004,0.5067305078020483,0.47930267621906086,0.6954694116416199,0.6521172896772889,0.5327278511827391,0.6371144749780441,0.7940726217198275,0.7627168239529422,0.7048282194796343,0.5837915190989725,0.4778060445722483,0.687937847232444,0.7818128809439704,0.8270384055394431,1.0,0.6181025980056861,0.8328436316064822,0.7209487240688711,0.8353430119704073,0.8348413619129746,0.7070478368825571,0.7043334372243225
45 t/m 54_Less than 10 km,0.6254237704428904,0.39686994039044793,0.41733323849715465,0.5323638681570386,0.3967718039477981,0.7110165476054661,0.5728901224188443,0.43255638086213133,0.775426122198793,0.5175207789652038,0.7669330336391686,0.6555178610497447,0.5248179793952805,0.7829414228599607,0.5214217587533505,0.7677123607779439,0.7439495187523013,0.6181025980056861,1.0,0.6391563476759796,0.7547415143441537,0.7389802104701151,0.7170221243679646,0.8088118065908241,0.3796555966592722
45 t/m 54_more than 50,0.6065128230775989,0.51949303614671,0.6329092822164248,0.5932614933443237,0.5575805515363428,0.7856959611779114,0.7292240108733836,0.7083969815668714,0.6462341429660592,0.7658733485778009,0.7698446800382597,0.7638951505697331,0.7150042156020114,0.5683313704330458,0.7901488675496544,0.7600579285687349,0.7410267909609052,0.8328436316064822,0.6391563476759796,1.0,0.6893781608519092,0.7339072321979381,0.7781809537828649,0.6691885937175511,0.5738985104079284
55 t/m 70_10-19 km,0.4612505760020507,0.3461328423960039,0.39563202781626217,0.42777391538365445,0.3563349325496306,0.617817702985962,0.49772592682977396,0.42011109120875884,0.628688805591339,0.5662247109730794,0.7957698639484623,0.5893694207022956,0.47652454415028767,0.6659539304266509,0.5898696917894356,0.8458598492621119,0.8201460193128245,0.7209487240688711,0.7547415143441537,0.6893781608519092,1.0,0.8887673325315059,0.8548752643589107,0.9118357522682836,0.5673855715936449
55 t/m 70_20-29 km,0.5162242986745234,0.36339316858314497,0.43778327057120936,0.48384260759693776,0.3945506594800462,0.6782134630759726,0.514996516538657,0.44864175625460184,0.6464724503130712,0.6342886279536317,0.8058194871207448,0.6234382251347322,0.5164352193856053,0.5868732294481029,0.6090019654354103,0.8451507377964361,0.8218708109137225,0.8353430119704073,0.7389802104701151,0.7339072321979381,0.8887673325315059,1.0,0.8751532950298112,0.8942098546132305,0.6352392391556957
55 t/m 70_30-49 km,0.5008181874501062,0.3523866136915192,0.4408669608037449,0.4900335227986055,0.3877144513607782,0.6886583332488115,0.5642652649381311,0.4712927870715824,0.6500328253372103,0.6768390960892638,0.8100707476094463,0.6461861884374306,0.533648631925843,0.596091247970821,0.6506093671491763,0.7757266079492138,0.8745424613069415,0.8348413619129746,0.7170221243679646,0.7781809537828649,0.8548752643589107,0.8751532950298112,1.0,0.802188640593224,0.6824158979097259
55 t/m 70_Less than 10 km,0.4861323209844963,0.3269208819914101,0.3695973619117235,0.4318818532248577,0.3498725008364892,0.624411951516443,0.47837585224480783,0.39723901787466087,0.6425689025519014,0.5368306782245013,0.7661873897585523,0.5784961836191939,0.4578790424125746,0.6623679248434241,0.5513186121733444,0.8332745053568561,0.8024491699711073,0.7070478368825571,0.8088118065908241,0.6691885937175511,0.9118357522682836,0.8942098546132305,0.802188640593224,1.0,0.5416728763767626
55 t/m 70_more than 50,0.23995285136562883,0.16207003170441997,0.2637373804859157,0.27205044158487646,0.24876212871348966,0.38927244613262035,0.3706642267215402,0.2815026669945993,0.36073974735868175,0.5707137296911843,0.5034830193163016,0.37525654871373154,0.3075811353262283,0.28074155006650153,0.4596909232439942,0.521307936327361,0.6407123717969437,0.7043334372243225,0.3796555966592722,0.5738985104079284,0.5673855715936449,0.6352392391556957,0.6824158979097259,0.5416728763767626,1.0
